"base.ending","ons","base.form","irregular.ending","regular.ending","category","subcategory","example","ort.base.ending","ort.reg.ending","ort.irreg.ending","regular.form","irregular.form","ons.print","base.print","regular.print","irregular.print"
"in","Sr","Srin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","Srind","SrEnt","shr","shreen","shreened","shrent"
"in","Tr","Trin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","Trind","TrEnt","thr","threen","threened","thrent"
"in","fr","frin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","frind","frEnt","fr","freen","freened","frent"
"in","pl","plin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","plind","plEnt","pl","pleen","pleened","plent"
"in","sl","slin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","slind","slEnt","sl","sleen","sleened","slent"
"in","sk","skin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","skind","skEnt","sk","skeen","skeened","skent"
"in","str","strin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","strind","strEnt","str","streen","streened","strent"
"in","spr","sprin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","sprind","sprEnt","spr","spreen","spreened","sprent"
"in","h","hin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","hind","hEnt","h","heen","heened","hent"
"in","J","Jin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","Jind","JEnt","ch","cheen","cheened","chent"
"in","sn","snin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","snind","snEnt","sn","sneen","sneened","snent"
"in","sm","smin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","smind","smEnt","sm","smeen","smeened","sment"
"in","dw","dwin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","dwind","dwEnt","dw","dween","dweened","dwent"
"in","skw","skwin","Ent","ind","vowelt","vowelt.n","teen","een","eened","ent","skwind","skwEnt","squ","squeen","squeened","squent"
"ip","t","tip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","tipt","tEpt","t","teep","teeped","tept"
"ip","g","gip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","gipt","gEpt","g","geep","geeped","gept"
"ip","z","zip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","zipt","zEpt","z","zeep","zeeped","zept"
"ip","T","Tip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","Tipt","TEpt","th","theep","theeped","thept"
"ip","j","jip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","jipt","jEpt","y","yeep","yeeped","yept"
"ip","br","brip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","bript","brEpt","br","breep","breeped","brept"
"ip","dr","drip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","dript","drEpt","dr","dreep","dreeped","drept"
"ip","Sr","Srip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","Sript","SrEpt","shr","shreep","shreeped","shrept"
"ip","Tr","Trip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","Tript","TrEpt","thr","threep","threeped","thrept"
"ip","fr","frip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","fript","frEpt","fr","freep","freeped","frept"
"ip","vr","vrip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","vript","vrEpt","vr","vreep","vreeped","vrept"
"ip","pl","plip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","plipt","plEpt","pl","pleep","pleeped","plept"
"ip","kl","klip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","klipt","klEpt","kl","kleep","kleeped","klept"
"ip","sk","skip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","skipt","skEpt","sk","skeep","skeeped","skept"
"ip","kw","kwip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","kwipt","kwEpt","qu","queep","queeped","quept"
"ip","sn","snip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","snipt","snEpt","sn","sneep","sneeped","snept"
"ip","dw","dwip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","dwipt","dwEpt","dw","dweep","dweeped","dwept"
"ip","skw","skwip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","skwipt","skwEpt","squ","squeep","squeeped","squept"
"ip","spl","splip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","splipt","splEpt","spl","spleep","spleeped","splept"
"ip","Sm","Smip","Ept","ipt","vowelt","vowelt.p","teep","eep","eeped","ept","Smipt","SmEpt","schm","schmeep","schmeeped","schmept"
"iv","b","biv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","bivd","b5v","b","beeve","beeved","bove"
"iv","g","giv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","givd","g5v","g","geeve","geeved","gove"
"iv","s","siv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","sivd","s5v","s","seeve","seeved","sove"
"iv","f","fiv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","fivd","f5v","f","feeve","feeved","fove"
"iv","j","jiv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","jivd","j5v","y","yeeve","yeeved","yove"
"iv","vr","vriv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","vrivd","vr5v","vr","vreeve","vreeved","vrove"
"iv","kw","kwiv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","kwivd","kw5v","qu","queeve","queeved","quove"
"iv","skr","skriv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","skrivd","skr5v","skr","skreeve","skreeved","skrove"
"iv","J","Jiv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","Jivd","J5v","ch","cheeve","cheeved","chove"
"iv","sn","sniv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","snivd","sn5v","sn","sneeve","sneeved","snove"
"iv","dw","dwiv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","dwivd","dw5v","dw","dweeve","dweeved","dwove"
"iv","Sm","Smiv","5v","ivd","ove","ove.v","teeve","eeve","eeved","ove","Smivd","Sm5v","schm","schmeeve","schmeeved","schmove"
